Date,Open
1,26820.25
2,26916.83008
3,26573.03906
4,26078.61914
5,26201.03906
6,26573.7207
7,26478.01953
8,26164.03906
9,26346.00977
10,26496.66992
11,26816.58984
12,26787.35938
13,27024.80078
14,27001.98047
15,27025.88086
16,26770.19922
17,26827.64063
18,26788.09961
19,26833.94922
20,26805.5293
21,26958.06055
22,27090.7207
23,27071.46094
24,27186.68945
25,27046.23047
26,27347.35938
27,27462.10938
28,27492.63086
29,27492.56055
30,27674.80078
31,27681.24023
32,27691.49023
33,27691.49023
34,27783.58984
35,27781.96094
36,28004.89063
37,28036.2207
38,27934.01953
39,27821.08984
40,27766.28906
41,27875.61914
42,28066.4707
43,28121.67969
44,28164
45,28051.41016
46,27783.03906
47,27502.81055
48,27649.7793
49,27677.78906
50,28015.06055
51,27909.59961
52,27881.7207
53,27911.30078
54,28132.05078
55,28135.38086
56,28235.89063
57,28267.16016
58,28239.2793
59,28376.96094
60,28455.08984
61,28551.5293
62,28515.44922
63,28621.39063
64,28645.25977
65,28462.14063
66,28538.43945
67,28868.80078
68,28634.88086
69,28703.38086
70,28583.67969
71,28745.08984
72,28956.90039
73,28823.76953
74,28907.05078
75,28939.66992
76,29030.2207
77,29297.64063
78,29348.09961
79,29196.03906
80,29186.26953
81,29160.08984
82,28989.73047
83,28535.80078
84,28722.84961
85,28734.44922
86,28859.43945
87,28256.0293
88,28399.81055
89,28807.63086
90,29290.84961
91,29379.76953
92,29102.50977
93,29276.82031
94,29276.33984
95,29551.41992
96,29423.31055
97,29398.08008
98,29232.18945
99,29348.0293
100,29219.98047
101,28992.41016
102,27960.80078
103,27081.35938
104,26957.58984
105,25766.64063
106,25409.35938
107,26703.32031
108,25917.41016
109,27090.85938
110,26121.2793
111,25864.7793
112,23851.01953
113,25018.16016
114,23553.2207
115,21200.61914
116,23185.61914
117,20188.51953
118,21237.38086
119,19898.91992
120,20087.18945
121,19173.98047
122,18591.92969
123,20704.91016
124,21200.55078
125,22552.16992
126,21636.7793
127,22327.48047
128,21917.16016
129,20943.50977
130,21413.43945
131,21052.5293
132,22679.99023
133,22653.85938
134,23433.57031
135,23719.36914
136,23390.76953
137,23949.75977
138,23504.34961
139,23537.67969
140,24242.49023
141,23650.43945
142,23018.88086
143,23475.82031
144,23515.25977
145,23775.26953
146,24133.7793
147,24101.55078
148,24633.85938
149,24345.7207
150,23723.68945
151,23749.75977
152,23883.08984
153,23664.64063
154,23875.89063
155,24331.32031
156,24221.99023
157,23764.7793
158,23247.9707
159,23625.33984
160,23685.41992
161,24597.36914
162,24206.85938
163,24575.90039
164,24474.11914
165,24465.16016
166,24995.10938
167,25548.26953
168,25400.64063
169,25383.10938
170,25475.01953
171,25742.65039
172,26269.89063
173,26281.82031
174,27110.98047
175,27572.43945
176,27272.30078
177,26989.99023
178,25128.16992
179,25605.53906
180,25763.16016
181,26289.98047
182,26119.60938
183,26080.09961
184,25871.46094
185,26024.96094
186,26156.09961
187,25445.93945
188,25745.59961
189,25015.55078
190,25595.80078
191,25812.88086
192,25734.9707
193,25827.35938
194,26287.0293
195,25890.17969
196,26067.2793
197,25706.08984
198,26075.30078
199,26085.80078
200,26642.58984
201,26870.09961
202,26734.71094
203,26671.94922
204,26680.86914
205,26840.40039
206,27005.83984
207,26652.33008
208,26469.89063
209,26584.76953
210,26379.2793
211,26539.57031
212,26313.65039
213,26428.32031
214,26664.40039
215,26828.4707
216,27201.51953
217,27386.98047
218,27433.48047
219,27791.43945
220,27686.91016
221,27976.83984
222,27896.7207
223,27931.01953
224,27844.91016
225,27778.07031
226,27692.88086
227,27739.73047
228,27930.33008
229,28308.46094
230,28248.43945
231,28331.91992
232,28492.26953
233,28653.86914
234,28430.05078
235,28645.66016
236,29100.5
237,28292.73047
238,28133.31055
239,27500.89063
240,27940.4707
241,27534.58008
242,27665.64063
243,27993.33008
244,27995.59961
245,28032.38086
246,27901.98047
247,27657.41992
248,27147.69922
249,27288.17969
250,26763.13086
251,26815.43945
252,27173.96094
